"speciesRus","speciesLat","observationsNumber","individualsNumber","individualsPerObservation","speciesShare"
"Скворец обыкновенный","Sturnus vulgaris",27,11148,412.888888888889,3.78542103577568
"Грач","Corvus frugilegus",42,3906,93,1.32632351684067
"Галка","Corvus monedula",34,2917,85.7941176470588,0.990498130728172
"Чайка серебристая","Larus argentatus",2,2002,1001,0.679800225477477
"Голубь сизый","Columba livia forma urbana",43,1735,40.3488372093023,0.589137558043668
"Воробей полевой","Passer montanus",46,1727,37.5434782608696,0.586421073626175
"Кряква","Anas platyrhynchos",34,1485,43.6764705882353,0.50424741999703
"Воробей домовый","Passer domesticus",49,1040,21.2244897959184,0.353142974274014
"Чайка сизая","Larus canus",13,890,68.4615384615385,0.302208891446031
"Гусь серый","Anser anser",9,698,77.5555555555556,0.237013265426213
"Синица большая","Parus major",53,635,11.9811320754717,0.215620950638461
"Чибис","Vanellus vanellus",3,546,182,0.185400061493857
"Чайка озерная","Chroicocephalus ridibundus",13,515,39.6153846153846,0.174873684376074
"Ворона серая","Corvus corone",41,485,11.8292682926829,0.164686867810478
"Рябинник","Turdus pilaris",19,461,24.2631578947368,0.156537414558001
"Лысуха","Fulica atra",12,378,31.5,0.128353888726517
"Журавль серый","Grus grus",10,281,28.1,0.0954165151644211
"Ворон","Corvus corax",24,273,11.375,0.0927000307469287
"Сойка","Garrulus glandarius",37,235,6.35135135135135,0.0797967297638398
"Сорока","Pica pica",35,178,5.08571428571429,0.0604417782892063
"Щегол черноголовый","Carduelis carduelis",11,177,16.0909090909091,0.0601022177370197
"Чиж","Carduelis spinus",3,165,55,0.0560274911107811
"Зяблик","Fringilla coelebs",9,161,17.8888888888889,0.0546692489020349
"Овсянка обыкновенная","Emberiza citrinella",11,145,13.1818181818182,0.0492362800670501
"Гусь белолобый","Anser albifrons",5,141,28.2,0.0478780378583038
"Вяхирь","Columba palumbus",8,138,17.25,0.0468593562017442
"Баклан большой","Phalacrocorax carbo",3,133,44.3333333333333,0.0451615534408114
"Лебедь-шипун","Cygnus olor",18,111,6.16666666666667,0.0376912212927073
"Зеленушка обыкновенная","Carduelis chloris",15,100,6.66666666666667,0.0339560552186552
"Жаворонок полевой","Alauda arvensis",6,87,14.5,0.02954176804023
"Чернеть хохлатая","Aythya fuligula",7,84,12,0.0285230863836704
"Синица длиннохвостая","Aegithalos caudatus",6,82,13.6666666666667,0.0278439652792973
"Пеночка-теньковка","Phylloscopus collybita",12,80,6.66666666666667,0.0271648441749242
"Цапля серая","Ardea cinerea",5,76,15.2,0.025806601966178
"Дрозд черный","Turdus merula",9,71,7.88888888888889,0.0241087992052452
"Поганка большая","Podiceps cristatus",6,63,10.5,0.0213923147877528
"Дрозд певчий","Turdus philomelos",7,61,8.71428571428571,0.0207131936833797
"Лазоревка обыкновенная","Cyanistes caeruleus",11,58,5.27272727272727,0.01969451202682
"Свиязь","Anas penelope",1,58,58,0.01969451202682
"Трясогузка белая","Motacilla alba",12,57,4.75,0.0193549514746335
